time_ms,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z
25,-0.0178218,0.336894691,-0.562364459,0.164692357,0.354771018,-0.330482125,0.211714596,0.123881593,-0.300379127,0.204947263,-0.104143165,-0.357648671,0.117105454,0.0001667,0.002659542,0.117513321,-0.417008281,-0.028204044,0.172349483,-0.746009648,0.114119619,-0.176293105,0.352967978,-0.344583124,-0.24800846,0.112226792,-0.291524798,-0.217885286,-0.108301662,-0.345365912,-0.11756783,0.000601131,-0.001650666,-0.145277783,-0.390328079,-0.009662786,-0.162890777,-0.723276258,0.120982319
25.01666667,-0.021895982,0.334997982,-0.561005592,0.164025635,0.353628337,-0.324913561,0.211082175,0.126288161,-0.291645736,0.206107959,-0.106391303,-0.355288029,0.117139436,4.37E-05,0.002240756,0.114128299,-0.421244562,-0.014853944,0.170793891,-0.750080109,0.123583212,-0.179614767,0.350732893,-0.34129259,-0.252043307,0.115936711,-0.268120378,-0.225971803,-0.110235117,-0.311703831,-0.117611423,0.000726017,-0.001222787,-0.147508904,-0.390558898,-0.002019355,-0.170882061,-0.727148414,0.120856442
25.03333333,-0.020946022,0.280581713,-0.567943096,0.164215952,0.328179449,-0.335275322,0.211007744,0.112996712,-0.293854922,0.207166478,-0.116331428,-0.353644133,0.117165498,-0.000177195,0.001796991,0.113832973,-0.424401164,-0.014939453,0.171638533,-0.752532542,0.118523151,-0.179720536,0.331944585,-0.346366018,-0.25335741,0.109847292,-0.267492652,-0.226713136,-0.119355686,-0.295742333,-0.117643565,0.000972177,-0.00079618,-0.147318706,-0.390846163,-0.01045885,-0.170529544,-0.7290923,0.109581813
25.05,-0.020364717,0.24943909,-0.589859843,0.16389066,0.301601112,-0.362419248,0.211809218,0.091465667,-0.322742403,0.209319085,-0.131946176,-0.37504673,0.11717838,-0.000346986,0.00095086,0.109491982,-0.429205835,-0.03592911,0.174069569,-0.760358989,0.09573184,-0.179702058,0.308666795,-0.371381521,-0.256486624,0.092730798,-0.290587783,-0.227180824,-0.130143702,-0.312892854,-0.117660992,0.001167535,9.98E-06,-0.14742133,-0.394476354,-0.015143306,-0.170146391,-0.736146867,0.107715987
25.06666667,-0.020464526,0.241637886,-0.59288156,0.163269237,0.288867801,-0.362354845,0.21322,0.08401309,-0.32077992,0.210458249,-0.13740702,-0.37116456,0.117187686,-0.000560057,0.00063566,0.105863445,-0.433144093,-0.043359622,0.174173787,-0.764950931,0.078339696,-0.180167302,0.292423069,-0.373350859,-0.260240138,0.081550613,-0.289263844,-0.231236413,-0.13815029,-0.312256962,-0.117673665,0.001396607,0.000292803,-0.147173062,-0.394685596,-0.023279943,-0.169847623,-0.736057103,0.097561993
25.08333333,-0.024495507,0.211309448,-0.598327398,0.160419777,0.274432451,-0.36702919,0.214113429,0.076196238,-0.322094619,0.210948095,-0.141063467,-0.369932204,0.117165387,-0.001056642,0.000311413,0.104081005,-0.435769796,-0.047081523,0.174244493,-0.766202688,0.070636891,-0.182367176,0.28247723,-0.380169749,-0.266043723,0.07555443,-0.288377643,-0.23522684,-0.14206183,-0.307034582,-0.117657378,0.00192678,0.000584391,-0.144798324,-0.395105809,-0.027225848,-0.168792784,-0.737029016,0.092585281
25.1,-0.024439709,0.20422864,-0.606425107,0.161814958,0.260785818,-0.360034913,0.222957,0.076801553,-0.261885107,0.216791213,-0.138507858,-0.227671444,0.117769666,-0.001566336,0.000279865,0.104884416,-0.43670544,-0.045063432,0.177660868,-0.76251936,0.095163904,-0.186243773,0.272384495,-0.374989957,-0.265877992,0.082710646,-0.208645612,-0.2374755,-0.137351573,-0.151359588,-0.118270203,0.002476096,0.000628902,-0.141746789,-0.391615868,-0.035954989,-0.165504098,-0.735777617,0.085975975
25.11666667,-0.024232026,0.190555319,-0.60812068,0.163382888,0.249340206,-0.356087089,0.226190671,0.073879197,-0.236758798,0.221256822,-0.140817598,-0.182833761,0.118365966,-0.002199199,0.000245645,0.107738145,-0.436206013,-0.036469098,0.178567216,-0.760314643,0.092784002,-0.187908083,0.260235697,-0.372695386,-0.267611593,0.086110905,-0.189810157,-0.241368681,-0.135597914,-0.119415931,-0.118869796,0.00314782,0.000679943,-0.140347242,-0.389546812,-0.038285781,-0.162062064,-0.735319912,0.090687566
25.13333333,-0.024742199,0.180728272,-0.603936076,0.163683727,0.250395745,-0.355177283,0.228886858,0.079266444,-0.213066891,0.227025881,-0.14024277,-0.1454795,0.118953764,-0.002624852,0.000150626,0.110480212,-0.436005354,-0.032948073,0.178488001,-0.759509623,0.091322124,-0.192063659,0.256723672,-0.370490849,-0.271416724,0.088647343,-0.175766632,-0.244826749,-0.134362489,-0.10062892,-0.119457833,0.003615343,0.0008043,-0.140106559,-0.384622633,-0.040761791,-0.161858499,-0.730005145,0.089293763
25.15,-0.025300918,0.17191124,-0.603543997,0.16396834,0.241336957,-0.354272783,0.230747312,0.079861104,-0.199122354,0.231291682,-0.137490258,-0.115213767,0.119502075,-0.002969159,-0.00010647,0.11078278,-0.435818732,-0.031637043,0.178609386,-0.754830241,0.097669706,-0.194644392,0.245748177,-0.36920315,-0.272766441,0.08818426,-0.163967609,-0.248449549,-0.134527057,-0.069114856,-0.119999059,0.00399337,0.001117227,-0.140111476,-0.383009672,-0.037466455,-0.161851689,-0.72883755,0.091612428
