Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
25,0,0,0,0.000702,0.076003,-0.017966,0.00415,0.269684,-0.050735,0.014279,0.476455,-0.113413,0.001344,0.612842,-0.172792,0.0489,0.414441,-0.088584,0.152222,0.394257,-0.07153,0.234406,0.144002,0.012508,0.229582,-0.090339,-0.041176,-0.026638,0.417335,-0.091243,-0.13285,0.410254,-0.084735,-0.22684,0.160213,-0.013396,-0.233276,-0.074253,-0.066362,0.094636,-0.001321,-0.001891,0.14857,-0.470582,0.061365,0.179262,-0.792719,0.180846,-0.094636,0.001321,0.00189,-0.159488,-0.470456,0.020245,-0.203852,-0.792529,0.13553
25.016666,0,0,0,0.000814,0.075513,-0.019317,0.004446,0.268319,-0.056077,0.014902,0.473343,-0.123306,0.002405,0.608131,-0.185652,0.049418,0.412146,-0.097074,0.152668,0.39211,-0.079422,0.234965,0.143609,0.00956,0.230705,-0.09175,-0.039523,-0.02611,0.415039,-0.099999,-0.132343,0.408094,-0.093693,-0.227439,0.159716,-0.018133,-0.234393,-0.075634,-0.066954,0.094643,-0.001384,-0.00142,0.149486,-0.470743,0.060313,0.180648,-0.793228,0.178726,-0.094643,0.001384,0.001421,-0.159313,-0.470438,0.019257,-0.203851,-0.792725,0.133876
25.033333,0,0,0,0.000871,0.074974,-0.020737,0.004613,0.266748,-0.061801,0.01539,0.469802,-0.133904,0.003435,0.602827,-0.199416,0.049799,0.40951,-0.106154,0.152982,0.389732,-0.087836,0.235398,0.143261,0.006525,0.231611,-0.093099,-0.037534,-0.025718,0.412362,-0.109409,-0.131981,0.405558,-0.103468,-0.228371,0.159104,-0.023387,-0.235823,-0.077157,-0.06751,0.094649,-0.00137,-0.000978,0.150301,-0.470816,0.059355,0.181915,-0.793687,0.17659,-0.094649,0.001371,0.000979,-0.159213,-0.470492,0.018112,-0.203998,-0.792876,0.13236
25.05,0,0,0,0.000965,0.074369,-0.022034,0.004832,0.264969,-0.067274,0.015899,0.465963,-0.144229,0.004457,0.59711,-0.213003,0.050205,0.406594,-0.114954,0.153311,0.387107,-0.095904,0.235697,0.142739,0.003798,0.232387,-0.094533,-0.03509,-0.025298,0.409366,-0.118571,-0.131588,0.402637,-0.113036,-0.229307,0.158248,-0.028365,-0.237282,-0.078841,-0.067687,0.094653,-0.001354,-0.000427,0.15106,-0.470849,0.058807,0.183141,-0.794124,0.1748,-0.094653,0.001355,0.000426,-0.159075,-0.470541,0.017155,-0.204185,-0.792958,0.131183
25.066666,0,0,0,0.001052,0.073762,-0.02323,0.005061,0.263134,-0.072448,0.016422,0.461968,-0.153978,0.005465,0.591168,-0.225792,0.050625,0.403596,-0.123282,0.153646,0.384379,-0.103508,0.235953,0.142123,0.001284,0.233051,-0.095921,-0.032597,-0.024862,0.406272,-0.127274,-0.131177,0.399565,-0.122205,-0.230126,0.157217,-0.033209,-0.238642,-0.080603,-0.067713,0.094654,-0.001336,4.40E-05,0.151862,-0.470849,0.058364,0.184531,-0.794521,0.173077,-0.094654,0.001336,-4.50E-05,-0.158988,-0.470594,0.016076,-0.204395,-0.792925,0.130229
25.083333,0,0,0,0.001138,0.073076,-0.024533,0.005311,0.261026,-0.07802,0.016997,0.457422,-0.164404,0.00663,0.584511,-0.239336,0.051091,0.400151,-0.132227,0.154023,0.381281,-0.111673,0.236202,0.141476,-0.001292,0.233684,-0.097277,-0.029791,-0.02438,0.402723,-0.136589,-0.130716,0.396023,-0.131967,-0.231019,0.155997,-0.038314,-0.240022,-0.082489,-0.067719,0.094654,-0.001317,0.000466,0.152695,-0.470843,0.057848,0.185998,-0.794917,0.171238,-0.094653,0.001318,-0.000466,-0.158968,-0.470645,0.01474,-0.204717,-0.792803,0.129242
25.1,0,0,0,0.001188,0.072356,-0.025675,0.005502,0.258753,-0.083301,0.017564,0.452599,-0.174508,0.007745,0.577497,-0.25254,0.051532,0.396438,-0.140867,0.154377,0.377972,-0.119525,0.236343,0.140777,-0.003493,0.234134,-0.098563,-0.02657,-0.02392,0.398908,-0.145596,-0.130277,0.392235,-0.141437,-0.231993,0.154692,-0.043097,-0.241461,-0.084358,-0.067312,0.094652,-0.001266,0.00081,0.153382,-0.470792,0.05749,0.187314,-0.795213,0.169692,-0.094652,0.001267,-0.00081,-0.159037,-0.47071,0.01363,-0.205196,-0.792634,0.128626
25.116666,0,0,0,0.001248,0.071505,-0.027326,0.005731,0.256204,-0.089458,0.018205,0.447345,-0.185416,0.009021,0.569998,-0.266412,0.052039,0.392351,-0.150363,0.154772,0.374256,-0.12818,0.236413,0.139788,-0.006512,0.23439,-0.099987,-0.024545,-0.023393,0.394723,-0.155444,-0.129758,0.388001,-0.15158,-0.23288,0.15304,-0.048611,-0.242791,-0.086438,-0.067931,0.094649,-0.001231,0.001102,0.154114,-0.470833,0.056364,0.188702,-0.795652,0.167207,-0.09465,0.001231,-0.001102,-0.159344,-0.470754,0.011586,-0.206087,-0.792394,0.127138
25.133333,0,0,0,0.00128,0.070721,-0.028364,0.005894,0.253628,-0.094559,0.01875,0.441911,-0.195279,0.01013,0.562172,-0.279284,0.052459,0.388133,-0.158823,0.155112,0.370478,-0.135928,0.236423,0.138979,-0.008488,0.234462,-0.10114,-0.021156,-0.022953,0.390378,-0.164253,-0.129331,0.383644,-0.160806,-0.233775,0.151342,-0.053236,-0.244207,-0.088482,-0.067283,0.094647,-0.001175,0.001339,0.154626,-0.470762,0.056171,0.189827,-0.795908,0.165857,-0.094647,0.001176,-0.001339,-0.159559,-0.470795,0.010771,-0.206801,-0.792192,0.126796
25.15,0,0,0,0.001361,0.069724,-0.030095,0.006235,0.250544,-0.101083,0.019568,0.435667,-0.206804,0.011508,0.553388,-0.293862,0.053127,0.383177,-0.168901,0.155667,0.365923,-0.145205,0.236574,0.137692,-0.011757,0.234554,-0.102646,-0.019165,-0.022263,0.385318,-0.17466,-0.128644,0.378508,-0.171467,-0.234484,0.14915,-0.059054,-0.245403,-0.090899,-0.067893,0.094642,-0.001126,0.001674,0.15532,-0.470794,0.055021,0.191263,-0.796338,0.163276,-0.094643,0.001126,-0.001674,-0.15998,-0.470824,0.008808,-0.208035,-0.791913,0.125353
