joint,x_mae,y_mae,z_mae
left_shoulder,2.436285845,10.90012791,14.47482437
left_elbow,2.465113681,7.490558161,16.12255628
left_wrist,2.655784305,3.51030567,15.92655225
left_hip,2.411968066,0.500610409,0.489879649
left_knee,3.064105509,7.514087346,11.23658771
left_ankle,2.510523071,9.091729735,8.364022438
right_shoulder,5.729592544,11.07752386,14.41368284
right_elbow,2.579401779,7.379881479,12.65429981
right_wrist,2.21771806,3.16388248,13.14087599
right_hip,2.457315503,0.60799863,0.605832718
right_knee,2.680228584,8.672794294,4.844545021
right_ankle,5.592228863,7.384767271,8.793253842
