Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
20,0,0,0,-0.000611,0.078469,-0.00453,-0.000732,0.27494,0.009417,0.000694,0.493525,0.001498,-0.019902,0.642033,-0.021782,0.038163,0.426186,0.008119,0.143035,0.407726,0.014019,0.233988,0.147483,0.035114,0.204466,-0.067782,-0.067895,-0.037461,0.426733,0.009582,-0.142967,0.415061,0.019871,-0.231149,0.153588,0.03718,-0.229254,-0.063004,-0.067249,0.09458,0.000509,-0.003946,0.136271,-0.4682,0.071489,0.157363,-0.785987,0.203988,-0.09458,-0.000509,0.003947,-0.15983,-0.471886,0.029681,-0.200311,-0.79148,0.153012
20.016666,0,0,0,-0.000703,0.078586,-0.004485,-0.000921,0.275164,0.00957,0.000595,0.493458,0.001791,-0.01997,0.641684,-0.021416,0.038038,0.426395,0.008364,0.142873,0.407879,0.014716,0.231456,0.147195,0.040026,0.203068,-0.069404,-0.060475,-0.037586,0.426972,0.009822,-0.14305,0.41527,0.020502,-0.230193,0.153739,0.041748,-0.231121,-0.064491,-0.059227,0.094577,0.000617,-0.003996,0.136676,-0.468115,0.071065,0.158183,-0.785766,0.203825,-0.094578,-0.000618,0.003995,-0.159817,-0.471955,0.030472,-0.200315,-0.791649,0.153539
20.033333,0,0,0,-0.000799,0.078709,-0.004446,-0.001144,0.275405,0.009659,0.000545,0.493387,0.002119,-0.019969,0.641314,-0.020979,0.037935,0.426605,0.008622,0.142712,0.407948,0.015503,0.228839,0.146825,0.044503,0.20176,-0.070515,-0.054751,-0.037689,0.427241,0.010059,-0.143128,0.415621,0.021063,-0.229282,0.154086,0.045985,-0.232755,-0.06543,-0.052107,0.094575,0.000732,-0.00404,0.137202,-0.468023,0.070579,0.1592,-0.785508,0.203653,-0.094575,-0.000732,0.004041,-0.159763,-0.472035,0.031249,-0.20024,-0.791859,0.153985
20.05,0,0,0,-0.000874,0.078754,-0.004425,-0.001361,0.275496,0.009665,0.000453,0.493263,0.002368,-0.019956,0.640994,-0.020633,0.037805,0.426676,0.008809,0.142493,0.407766,0.016321,0.226388,0.146211,0.047859,0.201463,-0.071535,-0.051069,-0.03782,0.427352,0.010212,-0.143236,0.415817,0.021517,-0.228587,0.154313,0.049356,-0.234183,-0.06611,-0.046581,0.094574,0.000822,-0.004059,0.137654,-0.467952,0.070177,0.16006,-0.785284,0.203549,-0.094573,-0.000822,0.00406,-0.159699,-0.472103,0.031788,-0.200154,-0.792042,0.154231
20.066666,0,0,0,-0.000927,0.07882,-0.004409,-0.001525,0.275629,0.009671,0.000393,0.49322,0.00266,-0.019902,0.640795,-0.02024,0.037712,0.42679,0.009028,0.142299,0.407545,0.017068,0.224276,0.145566,0.050097,0.201838,-0.072375,-0.048998,-0.037913,0.427501,0.010394,-0.143307,0.415961,0.021901,-0.228124,0.154527,0.051941,-0.235517,-0.066501,-0.042471,0.094573,0.000886,-0.004048,0.137974,-0.467889,0.069998,0.160619,-0.785165,0.203462,-0.094573,-0.000885,0.004049,-0.159652,-0.472144,0.032267,-0.200121,-0.792204,0.154388
20.083333,0,0,0,-0.000943,0.078938,-0.004426,-0.001634,0.27587,0.009591,0.000338,0.493251,0.002869,-0.01981,0.640631,-0.02,0.037638,0.427024,0.009178,0.14213,0.407498,0.017758,0.222303,0.145078,0.0517,0.202537,-0.072972,-0.047721,-0.037988,0.42775,0.010478,-0.143367,0.416235,0.022151,-0.227761,0.154871,0.053939,-0.236846,-0.066639,-0.039187,0.094574,0.000904,-0.004028,0.138129,-0.467839,0.070128,0.160892,-0.78513,0.203537,-0.094574,-0.000904,0.004027,-0.159642,-0.47214,0.032641,-0.200175,-0.792254,0.154598
20.1,0,0,0,-0.000947,0.079095,-0.004453,-0.001714,0.276187,0.009548,0.000284,0.493404,0.00314,-0.019712,0.64063,-0.019721,0.037571,0.427337,0.009402,0.141985,0.407606,0.018462,0.220766,0.144816,0.052792,0.203079,-0.073252,-0.046983,-0.038056,0.428068,0.010598,-0.143433,0.416622,0.022351,-0.227643,0.155357,0.05542,-0.237993,-0.066432,-0.036905,0.094573,0.000905,-0.004048,0.138087,-0.467772,0.070552,0.160855,-0.785116,0.203833,-0.094573,-0.000904,0.004047,-0.159731,-0.472111,0.032932,-0.200346,-0.792223,0.154869
20.116666,0,0,0,-0.000939,0.07923,-0.004469,-0.001751,0.276456,0.009554,0.000295,0.493557,0.003431,-0.019525,0.640688,-0.019384,0.037562,0.427599,0.009661,0.141928,0.407756,0.01902,0.219912,0.144727,0.053339,0.20346,-0.0733,-0.046737,-0.038067,0.428343,0.010743,-0.143461,0.416998,0.022444,-0.227771,0.155874,0.056356,-0.239025,-0.066168,-0.035251,0.094573,0.000893,-0.004048,0.137941,-0.467707,0.071113,0.160633,-0.785124,0.204235,-0.094573,-0.000893,0.004048,-0.159818,-0.472072,0.033204,-0.200519,-0.792166,0.155158
20.133333,0,0,0,-0.000923,0.079331,-0.004459,-0.001755,0.276653,0.009604,0.000396,0.493739,0.003712,-0.019233,0.640876,-0.019095,0.037624,0.427779,0.009931,0.141956,0.407842,0.019473,0.219563,0.144659,0.053472,0.203846,-0.073299,-0.046871,-0.038006,0.428555,0.010896,-0.143436,0.417391,0.022451,-0.228094,0.156456,0.056944,-0.239933,-0.065763,-0.03416,0.094573,0.000873,-0.004036,0.137765,-0.467652,0.071694,0.160353,-0.785142,0.204661,-0.094574,-0.000873,0.004036,-0.159907,-0.472021,0.03348,-0.20073,-0.792096,0.155445
20.15,0,0,0,-0.000901,0.079369,-0.004433,-0.001744,0.276722,0.009726,0.000495,0.493822,0.004041,-0.01895,0.64101,-0.018654,0.03769,0.427833,0.010253,0.142012,0.407862,0.019818,0.219803,0.144663,0.053274,0.204177,-0.073219,-0.047248,-0.037942,0.428636,0.011107,-0.143417,0.417651,0.022418,-0.228627,0.156937,0.057222,-0.240658,-0.065368,-0.033648,0.094575,0.00085,-0.004002,0.137615,-0.46761,0.072211,0.160112,-0.785151,0.20507,-0.094575,-0.00085,0.004003,-0.160002,-0.471968,0.03373,-0.200992,-0.791997,0.155759
