joint,x_mae,y_mae,z_mae
left_shoulder,4.603384088,4.372218882,25.59366421
left_elbow,0.145730234,7.051388529,25.17861812
left_wrist,0.992090722,4.593346909,24.73392844
left_hip,2.259613463,0.09470473,0.480225885
left_knee,1.292898211,9.202070802,3.9108512
left_ankle,2.770735714,14.33041294,15.61163042
right_shoulder,2.67682743,3.247447252,27.24919154
right_elbow,0.495806137,4.20751614,23.93377543
right_wrist,2.042842879,1.532761299,22.05891903
right_hip,2.301570151,0.163697948,0.390286489
right_knee,3.403089397,10.88417207,14.99495498
right_ankle,6.143989473,12.68288316,29.49104899
