Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
11.5,0,0,0,-2.70E-05,0.07915,-0.001929,0.00024,0.276533,0.005891,0.001997,0.494903,0.009502,-0.016381,0.643633,-0.012059,0.039133,0.42755,0.014319,0.144664,0.412611,0.010638,0.237935,0.208018,-0.150245,0.190287,0.109302,-0.364265,-0.036478,0.428192,0.012307,-0.142222,0.42012,0.001056,-0.220091,0.209904,-0.160769,-0.168227,0.084916,-0.359534,0.094654,6.60E-05,0.00139,0.162827,-0.46778,0.061293,0.204003,-0.788385,0.181739,-0.094654,-6.70E-05,-0.001389,-0.225647,-0.458274,0.00028,-0.32801,-0.787246,0.017262
11.516666,0,0,0,0.000345,0.078906,-0.001781,0.001015,0.276054,0.005685,0.002366,0.494091,0.011125,-0.015991,0.642446,-0.010956,0.03961,0.427064,0.015496,0.145293,0.413458,0.011083,0.240533,0.219399,-0.161289,0.191776,0.133129,-0.380377,-0.035996,0.427588,0.013261,-0.141688,0.420399,0.00097,-0.220821,0.220034,-0.172333,-0.167394,0.106517,-0.377464,0.094639,-0.000366,0.002121,0.162658,-0.468333,0.06125,0.203298,-0.789128,0.181371,-0.09464,0.000366,-0.002121,-0.230237,-0.456499,-0.003926,-0.334743,-0.785085,0.006025
11.533333,0,0,0,0.000764,0.078474,-0.001622,0.001833,0.275209,0.005251,0.002683,0.492862,0.012598,-0.015624,0.640815,-0.009963,0.04006,0.426211,0.016525,0.145881,0.414076,0.011215,0.242969,0.232227,-0.173036,0.193339,0.16,-0.39696,-0.035538,0.426591,0.014025,-0.141148,0.420508,0.000494,-0.221824,0.231656,-0.184629,-0.167164,0.130719,-0.395924,0.094616,-0.000862,0.002873,0.162353,-0.468965,0.061248,0.202409,-0.789981,0.180971,-0.094617,0.000862,-0.002872,-0.23489,-0.454556,-0.008699,-0.341538,-0.782586,-0.00517
11.55,0,0,0,0.001257,0.078131,-0.001454,0.002847,0.274541,0.004868,0.003033,0.491597,0.013899,-0.01524,0.638948,-0.009091,0.040596,0.425562,0.017432,0.146535,0.414986,0.011227,0.245489,0.246123,-0.184054,0.194847,0.188267,-0.411886,-0.034996,0.425739,0.014721,-0.140517,0.42063,0.000137,-0.222317,0.244482,-0.196642,-0.166385,0.157995,-0.413923,0.094585,-0.001455,0.003588,0.162049,-0.469688,0.061232,0.201538,-0.790918,0.180568,-0.094584,0.001454,-0.003587,-0.238992,-0.452599,-0.013492,-0.347463,-0.780043,-0.015444
11.566666,0,0,0,0.001763,0.077611,-0.001291,0.003953,0.273516,0.004572,0.003542,0.490121,0.014987,-0.014772,0.637013,-0.008392,0.041269,0.42455,0.018208,0.147297,0.415487,0.011165,0.247827,0.259564,-0.193829,0.196049,0.215613,-0.424495,-0.034315,0.424547,0.015305,-0.139737,0.420702,-0.000349,-0.223357,0.257032,-0.206894,-0.166061,0.183214,-0.428452,0.094547,-0.002079,0.004205,0.16175,-0.470421,0.06126,0.200732,-0.791846,0.18024,-0.094548,0.002078,-0.004205,-0.242137,-0.450854,-0.017843,-0.352071,-0.777758,-0.024022
11.583333,0,0,0,0.002431,0.077066,-0.001058,0.005613,0.272449,0.004073,0.004971,0.488584,0.015173,-0.013334,0.635071,-0.007993,0.042787,0.423484,0.018082,0.148815,0.415097,0.010241,0.250706,0.273146,-0.204031,0.195421,0.244962,-0.436347,-0.032806,0.423396,0.01542,-0.138208,0.420812,-0.000619,-0.224073,0.271429,-0.21685,-0.165437,0.211665,-0.442264,0.094496,-0.002915,0.004819,0.162062,-0.47131,0.061009,0.200899,-0.792815,0.17982,-0.094496,0.002915,-0.004818,-0.244872,-0.44901,-0.021175,-0.353068,-0.77631,-0.033736
11.6,0,0,0,0.001198,0.078051,-0.001549,0.003172,0.274445,0.002155,0.003139,0.490462,0.014809,-0.014668,0.63701,-0.008146,0.040883,0.425311,0.01654,0.146832,0.417728,0.007006,0.251064,0.290137,-0.215025,0.194518,0.278564,-0.448451,-0.034747,0.425372,0.015305,-0.140149,0.425035,-0.000938,-0.226816,0.290694,-0.22651,-0.166631,0.245513,-0.454887,0.094648,-0.001434,0.000929,0.162309,-0.469554,0.059258,0.203667,-0.790587,0.178494,-0.094648,0.001435,-0.00093,-0.20797,-0.461454,-0.003627,-0.29607,-0.794552,0.01281
11.616666,0,0,0,0.000198,0.079303,-0.000893,0.000405,0.276938,0.002914,0.001521,0.493123,0.015767,-0.015914,0.639896,-0.007221,0.038919,0.427591,0.017418,0.144774,0.420689,0.006428,0.251217,0.30826,-0.222636,0.193003,0.31181,-0.455911,-0.03671,0.428053,0.016208,-0.142006,0.430123,-0.00058,-0.229465,0.310273,-0.233878,-0.168119,0.278178,-0.464152,0.094658,-0.000247,-0.000979,0.162114,-0.467979,0.060606,0.2045,-0.789015,0.179471,-0.094658,0.000248,0.000979,-0.208422,-0.462539,0.002318,-0.294077,-0.795802,0.026582
11.633333,0,0,0,-0.000384,0.07985,-0.000273,-0.001199,0.278026,0.003587,0.00099,0.493984,0.017176,-0.016167,0.640628,-0.005717,0.038045,0.428426,0.018736,0.143799,0.422513,0.006294,0.252464,0.326165,-0.228978,0.192672,0.344488,-0.461165,-0.037576,0.429284,0.017277,-0.142727,0.43371,3.80E-05,-0.231353,0.329053,-0.240037,-0.168751,0.310745,-0.471484,0.094656,0.000451,-0.001158,0.161643,-0.467109,0.062221,0.204131,-0.78825,0.180766,-0.094656,-0.000452,0.001157,-0.210512,-0.462695,0.006115,-0.29634,-0.796296,0.024387
11.65,0,0,0,-0.000306,0.080098,0.000129,-0.001119,0.278523,0.003908,0.001016,0.493911,0.018801,-0.01604,0.640062,-0.004195,0.038084,0.428832,0.020039,0.143798,0.424614,0.006618,0.25443,0.343708,-0.2335,0.19321,0.376227,-0.463749,-0.037536,0.429689,0.018485,-0.142474,0.436104,0.000586,-0.23255,0.346555,-0.244992,-0.169002,0.341698,-0.476849,0.094658,0.000362,-0.000989,0.161334,-0.467077,0.063594,0.20365,-0.788238,0.182147,-0.094658,-0.000363,0.00099,-0.211695,-0.462266,0.009001,-0.298388,-0.795435,0.030696
