joint,x_mae,y_mae,z_mae
left_shoulder,3.849724516,5.186695028,20.4651347
left_elbow,1.704735502,5.394450048,13.90850392
left_wrist,2.362709658,13.88000517,13.55775425
left_hip,2.11494392,0.146735046,0.434042315
left_knee,2.661809525,7.737018798,1.838215057
left_ankle,1.904649792,12.74604571,13.32601868
right_shoulder,2.981473115,4.87466308,20.54202519
right_elbow,2.653226755,3.400608626,12.26718827
right_wrist,4.269069632,14.41430781,12.39363675
right_hip,2.132047628,0.188426305,0.372600316
right_knee,2.920199583,10.29112183,10.74792917
right_ankle,7.318535313,11.93378738,22.10601478
