Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
0,0,0,0,-0.000461,0.076831,-0.003079,0.000482,0.271461,0.012548,0.005522,0.493301,0.014311,-0.013852,0.646525,0.002778,0.041756,0.421964,0.018474,0.145791,0.403193,0.032546,0.293849,0.169772,0.026548,0.365141,-0.016468,-0.107812,-0.033864,0.423679,0.01887,-0.139418,0.416332,0.032204,-0.291871,0.185696,0.029501,-0.377951,-0.009023,-0.082282,0.094487,0.000335,-0.005784,0.161905,-0.464368,0.075594,0.208373,-0.785377,0.192997,-0.094486,-0.000336,0.005784,-0.171937,-0.469471,0.037878,-0.227044,-0.782084,0.172882
0.016666,0,0,0,-0.000437,0.076507,-0.002962,0.000602,0.270791,0.012836,0.005579,0.493088,0.015324,-0.013808,0.646761,0.003617,0.041824,0.421288,0.01927,0.145983,0.40313,0.033224,0.303026,0.175785,0.023493,0.383203,-0.005315,-0.112869,-0.033796,0.422977,0.019631,-0.139387,0.415776,0.032763,-0.300295,0.191051,0.025724,-0.394503,0.001629,-0.088578,0.094494,0.000321,-0.005661,0.161876,-0.4644,0.075643,0.208269,-0.785487,0.192862,-0.094494,-0.000321,0.005662,-0.171961,-0.469473,0.037454,-0.227204,-0.782087,0.172401
0.033333,0,0,0,-0.00041,0.076079,-0.002851,0.000677,0.269924,0.013032,0.005516,0.49272,0.016453,-0.013873,0.646887,0.004551,0.041795,0.420419,0.020115,0.146108,0.403079,0.033961,0.312869,0.182984,0.020059,0.402925,0.008076,-0.118211,-0.033826,0.422057,0.020438,-0.139453,0.415149,0.033436,-0.309615,0.197554,0.021548,-0.413439,0.014513,-0.094804,0.094503,0.000303,-0.005503,0.161825,-0.464439,0.075732,0.208105,-0.785597,0.192803,-0.094503,-0.000302,0.005503,-0.17198,-0.469468,0.037077,-0.227375,-0.782077,0.171974
0.05,0,0,0,-0.000377,0.075678,-0.002712,0.000815,0.269106,0.013279,0.005478,0.492403,0.017516,-0.013946,0.647066,0.005437,0.041803,0.419609,0.020943,0.146276,0.403158,0.034664,0.322651,0.191003,0.016648,0.422643,0.022886,-0.123203,-0.033821,0.421183,0.021198,-0.139501,0.414443,0.033837,-0.31855,0.204459,0.016788,-0.432071,0.027908,-0.100527,0.094512,0.00028,-0.005349,0.161778,-0.464485,0.075801,0.20796,-0.785731,0.192668,-0.094512,-0.00028,0.005349,-0.17201,-0.469459,0.036675,-0.227565,-0.78207,0.1715
0.066666,0,0,0,-0.000348,0.075274,-0.002574,0.000906,0.268285,0.013477,0.005358,0.492047,0.018564,-0.014057,0.647184,0.006412,0.041742,0.418798,0.021731,0.146374,0.403216,0.035259,0.331725,0.199222,0.013498,0.441075,0.038025,-0.127493,-0.033883,0.420298,0.021943,-0.139612,0.41369,0.034241,-0.32676,0.211346,0.012445,-0.449333,0.041256,-0.105307,0.094519,0.000258,-0.005219,0.161759,-0.464505,0.075959,0.207875,-0.785832,0.192633,-0.09452,-0.000257,0.005219,-0.172027,-0.469447,0.036357,-0.227683,-0.782046,0.171168
0.083333,0,0,0,-0.000318,0.074856,-0.002435,0.00099,0.267445,0.013589,0.005187,0.491698,0.019564,-0.014247,0.647339,0.007369,0.041645,0.417972,0.022459,0.146449,0.403376,0.035749,0.341094,0.20868,0.010245,0.460288,0.055396,-0.131595,-0.033982,0.419383,0.022622,-0.139773,0.412931,0.034466,-0.335223,0.219227,0.007599,-0.467361,0.056455,-0.110156,0.094526,0.000236,-0.005103,0.161756,-0.464526,0.07609,0.207829,-0.785925,0.19258,-0.094525,-0.000237,0.005102,-0.172042,-0.469436,0.036069,-0.227763,-0.78204,0.170844
0.1,0,0,0,-0.000308,0.074481,-0.002297,0.001012,0.266695,0.013668,0.004947,0.490943,0.020511,-0.014395,0.646609,0.008283,0.041487,0.417233,0.02315,0.146457,0.40361,0.036159,0.349946,0.218703,0.00711,0.478608,0.073769,-0.135229,-0.034142,0.418557,0.023259,-0.139999,0.412273,0.034585,-0.343361,0.227684,0.002753,-0.48477,0.072703,-0.11474,0.09453,0.000235,-0.005024,0.161763,-0.464536,0.076115,0.207822,-0.785965,0.192529,-0.09453,-0.000235,0.005025,-0.172058,-0.469444,0.035831,-0.227814,-0.782064,0.170551
0.116666,0,0,0,-0.000334,0.074278,-0.002208,0.000847,0.266295,0.013659,0.00428,0.490527,0.021281,-0.014808,0.646226,0.009076,0.040979,0.416888,0.02371,0.146119,0.404449,0.036533,0.357515,0.229042,0.005128,0.494197,0.091727,-0.137289,-0.034653,0.418045,0.023732,-0.140573,0.41186,0.034517,-0.350835,0.236061,-0.001906,-0.500511,0.088734,-0.119005,0.094533,0.000278,-0.004959,0.161763,-0.464527,0.07599,0.207807,-0.786004,0.192274,-0.094533,-0.000278,0.00496,-0.172058,-0.469503,0.03552,-0.227825,-0.782125,0.170233
0.133333,0,0,0,-0.000267,0.073834,-0.002035,0.001062,0.265416,0.013623,0.00437,0.489618,0.022126,-0.014756,0.64532,0.010029,0.041104,0.415989,0.024307,0.146391,0.404436,0.036752,0.365647,0.239681,0.001734,0.51098,0.11193,-0.141023,-0.034528,0.417107,0.024251,-0.140527,0.411237,0.034417,-0.358156,0.245711,-0.006601,-0.516382,0.107314,-0.123359,0.09454,0.000209,-0.004824,0.161741,-0.464637,0.075914,0.207734,-0.786127,0.192183,-0.094541,-0.000208,0.004825,-0.172097,-0.469423,0.035467,-0.22796,-0.782067,0.170089
0.15,0,0,0,-0.000239,0.073731,-0.001873,0.000994,0.265223,0.01358,0.003775,0.489398,0.022933,-0.015161,0.645131,0.01092,0.040674,0.415846,0.024896,0.146111,0.40549,0.037113,0.372751,0.251647,-0.000425,0.526183,0.133212,-0.142735,-0.03496,0.416792,0.024721,-0.141036,0.41119,0.034212,-0.365158,0.255784,-0.011185,-0.531071,0.126329,-0.127523,0.094546,0.000188,-0.004716,0.161764,-0.464717,0.075664,0.207749,-0.786211,0.191927,-0.094546,-0.000187,0.004716,-0.172082,-0.469407,0.035319,-0.227978,-0.782076,0.169868
