joint,x_mae,y_mae,z_mae
left_shoulder,4.372441444,3.224732934,31.45250177
left_elbow,2.68679494,2.83795005,30.43465914
left_wrist,4.762903615,8.2732688,24.76692756
left_hip,2.115537569,0.123680783,0.355812753
left_knee,3.922812418,9.097270073,6.413553126
left_ankle,3.181497319,14.66989612,20.5959819
right_shoulder,2.213007892,2.464018421,31.05445592
right_elbow,2.262531875,2.970156986,24.74651043
right_wrist,2.759608504,5.037179998,21.08468326
right_hip,2.148451276,0.109976625,0.289410105
right_knee,3.081184536,11.87205803,14.00878395
right_ankle,9.606660575,13.0485905,25.6831385
