Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
0.0,-0.277159,0.96697,-0.585052,-0.27762,1.043801,-0.588131,-0.276677,1.238431,-0.572504,-0.271637,1.460271,-0.570741,-0.291011,1.613495,-0.582274,-0.235403,1.388934,-0.566578,-0.131368,1.370163,-0.552506,0.01669,1.136742,-0.558504,0.087982,0.950502,-0.692864,-0.311023,1.390649,-0.566182,-0.416577,1.383302,-0.552848,-0.56903,1.152666,-0.555551,-0.65511,0.957947,-0.667334,-0.182672,0.967305,-0.590836,-0.115254,0.502602,-0.509458,-0.068786,0.181593,-0.392055,-0.371645,0.966634,-0.579268,-0.449096,0.497499,-0.547174,-0.504203,0.184886,-0.41217
0.016666,-0.276997,0.966957,-0.584667,-0.277434,1.043464,-0.587629,-0.276395,1.237748,-0.571831,-0.271418,1.460045,-0.569343,-0.290805,1.613718,-0.58105,-0.235173,1.388245,-0.565397,-0.131014,1.370087,-0.551443,0.026029,1.142742,-0.561174,0.106206,0.961642,-0.697536,-0.310793,1.389934,-0.565036,-0.416384,1.382733,-0.551904,-0.577292,1.158008,-0.558943,-0.6715,0.968586,-0.673245,-0.182503,0.967278,-0.590328,-0.115121,0.502557,-0.509024,-0.068728,0.18147,-0.391805,-0.371491,0.966636,-0.579005,-0.448958,0.497484,-0.547213,-0.504201,0.18487,-0.412266
0.033333,-0.276874,0.966949,-0.584368,-0.277284,1.043028,-0.587219,-0.276197,1.236873,-0.571336,-0.271358,1.459669,-0.567915,-0.290747,1.613836,-0.579817,-0.235079,1.387368,-0.564253,-0.130766,1.370028,-0.550407,0.035995,1.149933,-0.564309,0.126051,0.975025,-0.702579,-0.3107,1.389006,-0.56393,-0.416327,1.382098,-0.550932,-0.586489,1.164503,-0.56282,-0.690313,0.981462,-0.679172,-0.182371,0.967252,-0.589871,-0.115049,0.50251,-0.508636,-0.068769,0.181352,-0.391565,-0.371377,0.966647,-0.578865,-0.448854,0.497481,-0.547291,-0.504249,0.184872,-0.412394
0.05,-0.276761,0.966957,-0.584015,-0.277138,1.042635,-0.586727,-0.275946,1.236063,-0.570736,-0.271283,1.45936,-0.566499,-0.290707,1.614023,-0.578578,-0.234958,1.386566,-0.563072,-0.130485,1.370115,-0.549351,0.04589,1.15796,-0.567367,0.145882,0.989843,-0.707218,-0.310582,1.38814,-0.562817,-0.416262,1.3814,-0.550178,-0.595311,1.171416,-0.567227,-0.708832,0.994865,-0.684542,-0.182249,0.967237,-0.589364,-0.114983,0.502472,-0.508214,-0.068801,0.181226,-0.391347,-0.371273,0.966677,-0.578666,-0.448771,0.497498,-0.54734,-0.504326,0.184887,-0.412515
0.066666,-0.276686,0.966966,-0.583771,-0.277034,1.04224,-0.586345,-0.27578,1.235251,-0.570294,-0.271328,1.459013,-0.565207,-0.290743,1.61415,-0.577359,-0.234944,1.385764,-0.56204,-0.130312,1.370182,-0.548512,0.055039,1.166188,-0.570273,0.164389,1.004991,-0.711264,-0.310569,1.387264,-0.561828,-0.416298,1.380656,-0.54953,-0.603446,1.178312,-0.571326,-0.726019,1.008222,-0.689078,-0.182167,0.967224,-0.58899,-0.114927,0.502461,-0.507812,-0.068811,0.181134,-0.391138,-0.371206,0.966709,-0.578552,-0.448713,0.497519,-0.547414,-0.504369,0.18492,-0.412603
0.083333,-0.276606,0.966977,-0.58354,-0.276924,1.041833,-0.585975,-0.275616,1.234422,-0.569951,-0.271419,1.458675,-0.563976,-0.290853,1.614316,-0.576171,-0.234961,1.384949,-0.561081,-0.130157,1.370353,-0.547791,0.064488,1.175657,-0.573295,0.183682,1.022373,-0.715135,-0.310588,1.38636,-0.560918,-0.416379,1.379908,-0.549074,-0.611829,1.186204,-0.575941,-0.743967,1.023432,-0.693696,-0.18208,0.967213,-0.588643,-0.11485,0.502451,-0.50745,-0.068777,0.181052,-0.39096,-0.371131,0.96674,-0.578438,-0.448648,0.497541,-0.547471,-0.504369,0.184937,-0.412696
0.1,-0.276564,0.967008,-0.583309,-0.276872,1.041489,-0.585606,-0.275552,1.233703,-0.569641,-0.271617,1.457951,-0.562798,-0.290959,1.613617,-0.575026,-0.235077,1.384241,-0.560159,-0.130107,1.370618,-0.54715,0.073382,1.185711,-0.576199,0.202044,1.040777,-0.718538,-0.310706,1.385565,-0.56005,-0.416563,1.379281,-0.548724,-0.619925,1.194692,-0.580556,-0.761334,1.039711,-0.698049,-0.182034,0.967243,-0.588333,-0.114801,0.502472,-0.507194,-0.068742,0.181043,-0.39078,-0.371094,0.966773,-0.578284,-0.448622,0.497564,-0.547478,-0.504378,0.184944,-0.412758
0.116666,-0.276561,0.967059,-0.583035,-0.276895,1.041337,-0.585243,-0.275714,1.233354,-0.569376,-0.272281,1.457586,-0.561754,-0.291369,1.613285,-0.573959,-0.235582,1.383947,-0.559325,-0.130442,1.371508,-0.546502,0.080954,1.196101,-0.577907,0.217636,1.058786,-0.720324,-0.311214,1.385104,-0.559303,-0.417134,1.378919,-0.548518,-0.627396,1.20312,-0.584941,-0.777072,1.055793,-0.70204,-0.182028,0.967337,-0.587994,-0.114798,0.502532,-0.507045,-0.068754,0.181055,-0.390761,-0.371094,0.966781,-0.578075,-0.448619,0.497556,-0.547515,-0.504386,0.184934,-0.412802
0.133333,-0.276587,0.967142,-0.582975,-0.276854,1.040976,-0.58501,-0.275525,1.232558,-0.569352,-0.272217,1.45676,-0.560849,-0.291343,1.612462,-0.572946,-0.235483,1.383131,-0.558668,-0.130196,1.371578,-0.546223,0.08906,1.206823,-0.581241,0.234393,1.079072,-0.723998,-0.311115,1.384249,-0.558724,-0.417114,1.378379,-0.548558,-0.634743,1.212853,-0.589576,-0.792969,1.074456,-0.706334,-0.182047,0.967351,-0.587799,-0.114846,0.502505,-0.507061,-0.068853,0.181015,-0.390792,-0.371128,0.966934,-0.57815,-0.448684,0.497719,-0.547508,-0.504547,0.185075,-0.412886
0.15,-0.276681,0.96726,-0.582798,-0.27692,1.040991,-0.584671,-0.275687,1.232483,-0.569218,-0.272906,1.456658,-0.559865,-0.291842,1.612391,-0.571878,-0.236007,1.383106,-0.557902,-0.13057,1.37275,-0.545685,0.09607,1.218907,-0.583223,0.249502,1.100472,-0.725533,-0.311641,1.384052,-0.558077,-0.417717,1.37845,-0.548586,-0.641839,1.223044,-0.593983,-0.807752,1.093589,-0.710321,-0.182135,0.967448,-0.587514,-0.114917,0.502543,-0.507134,-0.068932,0.181049,-0.390871,-0.371227,0.967073,-0.578082,-0.448763,0.497853,-0.547479,-0.504659,0.185184,-0.41293
