frame,time_ms,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,0.0,0.012113014236092567,-0.656595766544342,-0.21950748562812805,0.9999922513961792,0.020092083141207695,-0.6943432688713074,-0.20167288184165955,0.999975323677063,0.020494494587183,-0.6946922540664673,-0.2010917365550995,0.9999736547470093,0.02046019956469536,-0.695061445236206,-0.20128898322582245,0.9999750852584839,-0.012104535475373268,-0.6895177364349365,-0.19977456331253052,0.9999717473983765,-0.011693811044096947,-0.6904959678649902,-0.20061098039150238,0.9999663829803467,-0.011794350109994411,-0.691741406917572,-0.19979357719421387,0.9999666213989258,0.07312585413455963,-0.6821792125701904,-0.09679292887449265,0.999958872795105,-0.07311840355396271,-0.6701481342315674,-0.09939780086278915,0.999933123588562,0.03613297641277313,-0.6319241523742676,-0.1837758868932724,0.9999920129776001,-0.0065073613077402115,-0.6263651251792908,-0.18292802572250366,0.9999885559082031,0.17577217519283295,-0.48375052213668823,-0.044080495834350586,0.9999858140945435,-0.1616506427526474,-0.4874725639820099,-0.04057139903306961,0.999940037727356,0.20375019311904907,-0.24462656676769257,-0.03739475831389427,0.995983362197876,-0.215510293841362,-0.2417963296175003,0.0002684587670955807,0.9786912202835083,0.19490280747413635,-0.021630428731441498,-0.15377439558506012,0.9934218525886536,-0.22443710267543793,-0.02547888457775116,-0.09610121697187424,0.9688141345977783,0.19220343232154846,0.06658631563186646,-0.18598158657550812,0.9845371246337891,-0.2231021225452423,0.059010665863752365,-0.11795444786548615,0.9413985013961792,0.15930317342281342,0.06523167341947556,-0.2197878509759903,0.9851672053337097,-0.20075958967208862,0.049059074372053146,-0.15354880690574646,0.9449591040611267,0.17719151079654694,-0.004432149697095156,-0.16663165390491486,0.9801048636436462,-0.20671473443508148,-0.010503550991415977,-0.1118314266204834,0.9371576905250549,0.11465838551521301,0.005471956916153431,-0.004087904933840036,0.9998098015785217,-0.11484773457050323,-0.006056575104594231,0.005425157491117716,0.9997343420982361,0.11800362914800644,0.4020139276981354,-0.025597183033823967,0.9856961965560913,-0.13801155984401703,0.38267433643341064,0.035836488008499146,0.9767087697982788,0.18024981021881104,0.7400069832801819,0.09075094014406204,0.9653084874153137,-0.14292940497398376,0.7302594184875488,0.18585839867591858,0.9562402367591858,0.1905965507030487,0.7827203869819641,0.09181739389896393,0.7086084485054016,-0.14677724242210388,0.7755511999130249,0.19174177944660187,0.7157551050186157,0.23015573620796204,0.8325516581535339,-0.03742004930973053,0.9375300407409668,-0.195051372051239,0.8108882904052734,0.06441809237003326,0.9301398992538452
1,0.016666666666666666,0.011548968963325024,-0.6576552987098694,-0.21262681484222412,0.9999921917915344,0.019702553749084473,-0.6953572630882263,-0.19490328431129456,0.9999752640724182,0.020096702501177788,-0.6956961750984192,-0.19434191286563873,0.9999736547470093,0.020075658336281776,-0.6960798501968384,-0.19453378021717072,0.9999750256538391,-0.012606672942638397,-0.690707266330719,-0.19291241466999054,0.9999713897705078,-0.012191255576908588,-0.691689133644104,-0.1937437653541565,0.9999660849571228,-0.012292622588574886,-0.6929266452789307,-0.19301974773406982,0.9999661445617676,0.07280070334672928,-0.6826754212379456,-0.09030400961637497,0.9999586939811707,-0.07379426062107086,-0.6711224913597107,-0.09264169633388519,0.9999324083328247,0.03544006496667862,-0.6326473355293274,-0.1769646406173706,0.9999918937683105,-0.007326128892600536,-0.627265989780426,-0.1760656237602234,0.9999884366989136,0.17502741515636444,-0.4839552938938141,-0.03815610334277153,0.9999861717224121,-0.1618155837059021,-0.4884418547153473,-0.036883700639009476,0.999940037727356,0.2037285715341568,-0.24512770771980286,-0.033903464674949646,0.995985746383667,-0.21583661437034607,-0.24296541512012482,0.001158317318186164,0.978728711605072,0.19335344433784485,-0.02268131449818611,-0.1535586416721344,0.9934952259063721,-0.22339282929897308,-0.027756022289395332,-0.0958283320069313,0.9685577154159546,0.18922172486782074,0.06557025015354156,-0.1859639286994934,0.9846662282943726,-0.22211463749408722,0.056022800505161285,-0.11793120205402374,0.9411163926124573,0.15581023693084717,0.06330733001232147,-0.21977642178535461,0.9853000044822693,-0.19914159178733826,0.0457136407494545,-0.15318064391613007,0.9446839690208435,0.17526814341545105,-0.005858930759131908,-0.16645990312099457,0.9802929759025574,-0.20543143153190613,-0.012972196564078331,-0.11140003055334091,0.9368183612823486,0.11455678939819336,0.005551918409764767,-0.0034397540148347616,0.9998059272766113,-0.11473709344863892,-0.006136927288025618,0.00475544948130846,0.9997261762619019,0.11780457198619843,0.40160074830055237,-0.025269942358136177,0.9841926693916321,-0.13688817620277405,0.3808097243309021,0.024212686344981194,0.975114643573761,0.17221839725971222,0.74056476354599,0.09166479110717773,0.9614793658256531,-0.14217820763587952,0.7285343408584595,0.16210514307022095,0.9526024460792542,0.18140847980976105,0.7834361791610718,0.09301254153251648,0.7019940614700317,-0.14586232602596283,0.7736464738845825,0.16680453717708588,0.7053194046020508,0.22169141471385956,0.8330444693565369,-0.03412064537405968,0.9322693347930908,-0.18754321336746216,0.8096171617507935,0.03951306268572807,0.924738883972168
2,0.03333333333333333,0.011100096628069878,-0.6594421863555908,-0.21108950674533844,0.999992311000824,0.019442865625023842,-0.6970447897911072,-0.1933484822511673,0.9999756217002869,0.019832588732242584,-0.6973795294761658,-0.19279243052005768,0.9999740719795227,0.019819455221295357,-0.6977739334106445,-0.192975714802742,0.9999753832817078,-0.012953216210007668,-0.6926431655883789,-0.1914062649011612,0.9999716877937317,-0.0125363077968359,-0.693628191947937,-0.19224543869495392,0.999966561794281,-0.012634714134037495,-0.6948592066764832,-0.19152683019638062,0.9999665021896362,0.07258159667253494,-0.6835985779762268,-0.08877089619636536,0.9999592304229736,-0.0743914470076561,-0.6728509664535522,-0.09119979292154312,0.9999333024024963,0.034834496676921844,-0.6339601278305054,-0.17544689774513245,0.9999919533729553,-0.008061402477324009,-0.6288672089576721,-0.17459167540073395,0.9999884963035583,0.17444293200969696,-0.48432639241218567,-0.03693396970629692,0.999986469745636,-0.16242434084415436,-0.48938533663749695,-0.036426737904548645,0.9999409914016724,0.2036808431148529,-0.24573464691638947,-0.032703373581171036,0.9959976673126221,-0.21683818101882935,-0.24349528551101685,0.001095295650884509,0.9789440035820007,0.192038431763649,-0.023933574557304382,-0.15353229641914368,0.993598222732544,-0.22326971590518951,-0.029480990022420883,-0.09641106426715851,0.9687797427177429,0.18677742779254913,0.06411521136760712,-0.18599307537078857,0.9848672151565552,-0.22204749286174774,0.05361166596412659,-0.11914604157209396,0.9416168928146362,0.15322630107402802,0.06108690798282623,-0.21980881690979004,0.9854965806007385,-0.1989509016275406,0.04281865060329437,-0.15380734205245972,0.9451470375061035,0.1737312525510788,-0.007527582813054323,-0.1664382815361023,0.9805594682693481,-0.20526009798049927,-0.015016285702586174,-0.11184811592102051,0.9372813105583191,0.11452671885490417,0.005617999006062746,-0.003022165270522237,0.9998036026954651,-0.11470361053943634,-0.006200980860739946,0.004313519224524498,0.999724268913269,0.11772038042545319,0.4016181528568268,-0.02298577129840851,0.983596920967102,-0.13686759769916534,0.3795010447502136,0.018122896552085876,0.9749024510383606,0.1694381982088089,0.7409095168113708,0.10326223820447922,0.959945797920227,-0.14193853735923767,0.7267636060714722,0.15233945846557617,0.9520248174667358,0.1785096526145935,0.7838558554649353,0.10596010088920593,0.7008134722709656,-0.14549249410629272,0.7716694474220276,0.1567176878452301,0.7027627229690552,0.22041842341423035,0.833545982837677,-0.017119338735938072,0.9303767681121826,-0.18539677560329437,0.8084996938705444,0.031000396236777306,0.9236665368080139
3,0.05,0.011016116477549076,-0.6609947681427002,-0.20694781839847565,0.9999924302101135,0.01941002905368805,-0.698564350605011,-0.18914969265460968,0.9999759793281555,0.01979842782020569,-0.698891818523407,-0.18860065937042236,0.9999744296073914,0.01978754997253418,-0.6992961764335632,-0.18877466022968292,0.9999757409095764,-0.0130182895809412,-0.6942311525344849,-0.1871548444032669,0.9999719858169556,-0.012600275687873363,-0.6952271461486816,-0.1879955679178238,0.9999669790267944,-0.012698818929493427,-0.6964520215988159,-0.18729335069656372,0.9999668598175049,0.07257913053035736,-0.6846600770950317,-0.08469744026660919,0.9999597668647766,-0.07447909563779831,-0.6741132736206055,-0.08671935647726059,0.9999343752861023,0.034739308059215546,-0.6352203488349915,-0.17139747738838196,0.9999920129776001,-0.008203760720789433,-0.6302234530448914,-0.1704380363225937,0.9999886155128479,0.1744127869606018,-0.4848451316356659,-0.03275632485747337,0.9999865889549255,-0.16243292391300201,-0.4902788996696472,-0.034370116889476776,0.9999420642852783,0.2037143111228943,-0.2463349848985672,-0.02849171683192253,0.9959805011749268,-0.21712902188301086,-0.24433761835098267,0.0014727708185091615,0.9792483448982239,0.19198021292686462,-0.025072762742638588,-0.1515727937221527,0.993671715259552,-0.22266323864459991,-0.031072694808244705,-0.09634091705083847,0.9689964652061462,0.18654854595661163,0.06281612068414688,-0.18447083234786987,0.9850030541419983,-0.22157533466815948,0.051775749772787094,-0.11916507035493851,0.9420230984687805,0.1530979424715042,0.05941171571612358,-0.21843235194683075,0.9856296181678772,-0.19807611405849457,0.04073870927095413,-0.15372729301452637,0.9455212354660034,0.1736762672662735,-0.008878417313098907,-0.16461294889450073,0.9807420969009399,-0.20449331402778625,-0.01675853691995144,-0.11171046644449234,0.9376629590988159,0.11449910700321198,0.0056588249281048775,-0.0021473420783877373,0.9998006820678711,-0.11467444151639938,-0.006240388378500938,0.0034155556932091713,0.9997245073318481,0.1177511140704155,0.40167054533958435,-0.019383538514375687,0.9831161499023438,-0.13658735156059265,0.3787616491317749,0.012599078938364983,0.9750825762748718,0.16806046664714813,0.7409563064575195,0.11401952803134918,0.9584836363792419,-0.14042654633522034,0.7262354493141174,0.1447557806968689,0.9519907236099243,0.1771460473537445,0.7839094996452332,0.117457315325737,0.7003923654556274,-0.14357289671897888,0.7710842490196228,0.14897796511650085,0.7010979056358337,0.22053152322769165,0.8336313366889954,-0.004297628067433834,0.9286285638809204,-0.18084660172462463,0.8083220720291138,0.022873088717460632,0.9231383204460144
4,0.06666666666666667,0.010763762518763542,-0.6627143621444702,-0.2037612944841385,0.9999926090240479,0.01921929605305195,-0.7002230286598206,-0.1859506219625473,0.9999765157699585,0.019602563232183456,-0.700543999671936,-0.1854041963815689,0.9999750852584839,0.01959899626672268,-0.7009568810462952,-0.1855759471654892,0.9999763369560242,-0.013270705938339233,-0.6959060430526733,-0.18389900028705597,0.9999724626541138,-0.012852337211370468,-0.6969064474105835,-0.1847417652606964,0.999967634677887,-0.012951957061886787,-0.6981238722801208,-0.18406228721141815,0.9999673962593079,0.07247509062290192,-0.6858240962028503,-0.08162440359592438,0.9999607801437378,-0.07475613057613373,-0.6752731204032898,-0.08342403173446655,0.9999356269836426,0.03448516130447388,-0.636678159236908,-0.16829288005828857,0.9999921321868896,-0.008509492501616478,-0.6316959261894226,-0.16729027032852173,0.9999887943267822,0.17427656054496765,-0.4853225648403168,-0.030731290578842163,0.9999869465827942,-0.16253091394901276,-0.49098658561706543,-0.03276694938540459,0.9999428987503052,0.20367689430713654,-0.2466604858636856,-0.02752232365310192,0.9960002899169922,-0.21721643209457397,-0.24476376175880432,0.0019244598224759102,0.9794949889183044,0.191361665725708,-0.02625013329088688,-0.15158899128437042,0.9938077330589294,-0.222684845328331,-0.03189919888973236,-0.09628064930438995,0.9691519141197205,0.18541111052036285,0.06143061816692352,-0.18465620279312134,0.9852936267852783,-0.22186318039894104,0.05079375207424164,-0.11918500065803528,0.9423878192901611,0.15179015696048737,0.0576665885746479,-0.2186601310968399,0.985913872718811,-0.19831250607967377,0.0398089736700058,-0.15368111431598663,0.9458804726600647,0.17295125126838684,-0.010268978774547577,-0.16464614868164062,0.981121301651001,-0.2045254409313202,-0.017609497532248497,-0.11162119358778,0.938077449798584,0.11448614299297333,0.005693813320249319,-0.001550211338326335,0.9997968673706055,-0.11466093361377716,-0.006274349521845579,0.002801846479997039,0.9997221827507019,0.117737777531147,0.4016454815864563,-0.01740044541656971,0.9823985695838928,-0.13634440302848816,0.37819814682006836,0.008822609670460224,0.9749481678009033,0.16656021773815155,0.7408870458602905,0.11803850531578064,0.9561887979507446,-0.14008629322052002,0.7258182168006897,0.13911409676074982,0.9510478973388672,0.1755261868238449,0.7838387489318848,0.12161190807819366,0.6962092518806458,-0.14306946098804474,0.7706002593040466,0.14321810007095337,0.6960518956184387,0.21873882412910461,0.8336241841316223,-0.00019072149007115513,0.9256163835525513,-0.17827542126178741,0.8081877827644348,0.016653943806886673,0.9212895035743713
5,0.08333333333333333,0.010686838999390602,-0.6641145944595337,-0.20178520679473877,0.9999927282333374,0.01917761005461216,-0.7015599608421326,-0.18386870622634888,0.9999769926071167,0.019559064880013466,-0.7018777132034302,-0.18331806361675262,0.9999756217002869,0.0195583738386631,-0.7022908926010132,-0.18349657952785492,0.9999768137931824,-0.013338403776288033,-0.6972434520721436,-0.18179072439670563,0.9999728798866272,-0.012919733300805092,-0.698245108127594,-0.18263913691043854,0.9999681711196899,-0.013018639758229256,-0.699457585811615,-0.1819571703672409,0.9999678730964661,0.07246974855661392,-0.6867890954017639,-0.07967591285705566,0.9999615550041199,-0.07483619451522827,-0.6762450933456421,-0.08121396601200104,0.9999369978904724,0.03441892936825752,-0.6378979682922363,-0.16642194986343384,0.9999922513961792,-0.008605079725384712,-0.632918119430542,-0.16536058485507965,0.9999889731407166,0.174261674284935,-0.48569512367248535,-0.029247812926769257,0.9999872446060181,-0.16256873309612274,-0.4914427399635315,-0.03130423650145531,0.999943733215332,0.2036876678466797,-0.24707530438899994,-0.0259579848498106,0.9959815144538879,-0.2175772786140442,-0.24506565928459167,0.0024230065755546093,0.9797105193138123,0.19093862175941467,-0.027640195563435555,-0.15054446458816528,0.9938497543334961,-0.2226121574640274,-0.033082421869039536,-0.09621571749448776,0.9692274928092957,0.18464818596839905,0.0596453920006752,-0.18397381901741028,0.9853877425193787,-0.2218189835548401,0.049152977764606476,-0.11919378489255905,0.9425871968269348,0.15086527168750763,0.05554012954235077,-0.21785292029380798,0.9860084056854248,-0.19821889698505402,0.03782534971833229,-0.1535903513431549,0.9460666179656982,0.1724402755498886,-0.011876732110977173,-0.16357669234275818,0.9812665581703186,-0.20443546772003174,-0.01901569403707981,-0.11151222884654999,0.9382866024971008,0.11448098719120026,0.0057504912838339806,-0.0013016264420002699,0.9997953772544861,-0.11465547978878021,-0.006329121999442577,0.0025436184369027615,0.9997210502624512,0.11786554008722305,0.40162572264671326,-0.01729171723127365,0.9817752242088318,-0.13634195923805237,0.377527117729187,0.00800599716603756,0.9746509194374084,0.16667421162128448,0.7408303022384644,0.1194353774189949,0.9540395140647888,-0.1401982456445694,0.724209725856781,0.14026756584644318,0.9498522877693176,0.1756887286901474,0.7837802171707153,0.12321089208126068,0.6916178464889526,-0.1431872695684433,0.7688894271850586,0.14467093348503113,0.6914975047111511,0.21886847913265228,0.8334469795227051,0.001284294412471354,0.9222558736801147,-0.17878064513206482,0.8064329028129578,0.01792280562222004,0.9191693067550659
6,0.1,0.01067668292671442,-0.6645945310592651,-0.2012416422367096,0.9999927282333374,0.019168943166732788,-0.7020142078399658,-0.18328773975372314,0.9999771118164062,0.019550126045942307,-0.7023313641548157,-0.18273895978927612,0.999975860118866,0.019549818709492683,-0.702743649482727,-0.18291932344436646,0.9999769926071167,-0.013348828069865704,-0.6976988315582275,-0.1812395453453064,0.999972939491272,-0.012930152006447315,-0.6987016201019287,-0.18208783864974976,0.9999682903289795,-0.013029057532548904,-0.6999146938323975,-0.1814029961824417,0.9999679327011108,0.07247230410575867,-0.6870631575584412,-0.07911032438278198,0.9999619722366333,-0.07485268265008926,-0.6765507459640503,-0.08067381381988525,0.9999374747276306,0.03440898284316063,-0.6382966041564941,-0.16590438783168793,0.9999922513961792,-0.008619707077741623,-0.6333275437355042,-0.16484788060188293,0.9999889731407166,0.17425605654716492,-0.48580577969551086,-0.028722688555717468,0.9999873638153076,-0.16258028149604797,-0.4916837513446808,-0.030254995450377464,0.9999441504478455,0.20371195673942566,-0.2472720444202423,-0.02523042820394039,0.9959829449653625,-0.21790078282356262,-0.24544546008110046,0.003635261207818985,0.9798231720924377,0.19060592353343964,-0.028140131384134293,-0.15015165507793427,0.9938920140266418,-0.22267726063728333,-0.03387270122766495,-0.09542306512594223,0.9692549705505371,0.1840898096561432,0.05905463919043541,-0.18375888466835022,0.9854652881622314,-0.2219529151916504,0.048226743936538696,-0.11866773664951324,0.9426849484443665,0.15027226507663727,0.054808132350444794,-0.21764957904815674,0.9860859513282776,-0.19834592938423157,0.03678251802921295,-0.15281277894973755,0.9461635947227478,0.17205892503261566,-0.012463591061532497,-0.16320836544036865,0.9813792705535889,-0.2045050710439682,-0.019888170063495636,-0.11066552251577377,0.9384047389030457,0.11446316540241241,0.0057908957824110985,-0.0012281006202101707,0.9997915625572205,-0.11463655531406403,-0.0063693649135529995,0.002467910060659051,0.9997179508209229,0.11783875524997711,0.40163955092430115,-0.017029231414198875,0.981147825717926,-0.13632884621620178,0.3773297667503357,0.008021987974643707,0.9742215275764465,0.1661178320646286,0.7410340309143066,0.11841390281915665,0.9521768093109131,-0.14018042385578156,0.7242085933685303,0.13947688043117523,0.9486769437789917,0.17510581016540527,0.7840033173561096,0.12193229794502258,0.6876459717750549,-0.1431673914194107,0.7688964009284973,0.14370869100093842,0.6876251697540283,0.21822158992290497,0.8335447907447815,-0.0005828570574522018,0.9195396900177002,-0.17914366722106934,0.8062763214111328,0.01680578477680683,0.9171597361564636
7,0.11666666666666667,0.010919635184109211,-0.6649423837661743,-0.20111452043056488,0.999992847442627,0.019454486668109894,-0.7023800611495972,-0.18312089145183563,0.9999775290489197,0.019831929355859756,-0.7026972770690918,-0.18257267773151398,0.9999763369560242,0.01983627863228321,-0.7031089663505554,-0.1827498972415924,0.9999774098396301,-0.01312036719173193,-0.6980730295181274,-0.18114997446537018,0.9999734163284302,-0.012701182626187801,-0.6990788578987122,-0.18199783563613892,0.9999688863754272,-0.012798539362847805,-0.7002909779548645,-0.18130651116371155,0.9999684691429138,0.07271219044923782,-0.6874120831489563,-0.07868767529726028,0.9999627470970154,-0.07478273659944534,-0.6769362092018127,-0.08061514794826508,0.9999388456344604,0.03460092842578888,-0.6386119723320007,-0.1656854897737503,0.9999923706054688,-0.008472057059407234,-0.6336608529090881,-0.16472439467906952,0.9999891519546509,0.1744481921195984,-0.48613205552101135,-0.027760321274399757,0.9999874830245972,-0.16253110766410828,-0.491917222738266,-0.03009907156229019,0.9999451637268066,0.20429213345050812,-0.24760131537914276,-0.02364976517856121,0.9959900379180908,-0.2177244871854782,-0.24547669291496277,0.003804187523201108,0.9800460338592529,0.19061127305030823,-0.02848201058804989,-0.1493283212184906,0.9939509034156799,-0.22246043384075165,-0.0340629406273365,-0.09541786462068558,0.9695303440093994,0.18400812149047852,0.05877711996436119,-0.18299326300621033,0.9855715036392212,-0.22191518545150757,0.04803213104605675,-0.11873926222324371,0.9432237148284912,0.1502433866262436,0.05437421426177025,-0.2170742303133011,0.9861904382705688,-0.19832287728786469,0.03652828931808472,-0.1528424322605133,0.9466763138771057,0.17206011712551117,-0.012899125926196575,-0.16247394680976868,0.9815133810043335,-0.20433089137077332,-0.02012011408805847,-0.11066051572561264,0.9389232397079468,0.11444969475269318,0.005824875086545944,-0.0009381499839946628,0.9997904300689697,-0.11462298035621643,-0.006402476690709591,0.0021690651774406433,0.9997197389602661,0.11781344562768936,0.4018455743789673,-0.016445612534880638,0.9810231924057007,-0.1363205909729004,0.37722691893577576,0.00725648645311594,0.974590003490448,0.165993332862854,0.7415250539779663,0.11827591061592102,0.9518532156944275,-0.13992726802825928,0.7243753671646118,0.13789501786231995,0.9492756724357605,0.17506733536720276,0.7845073938369751,0.12163381278514862,0.6895330548286438,-0.14284709095954895,0.7690762281417847,0.1419115513563156,0.6883770227432251,0.21845485270023346,0.8337419629096985,-0.0008243744960054755,0.9194310307502747,-0.17892025411128998,0.8064525723457336,0.01535807829350233,0.9176943302154541
8,0.13333333333333333,0.011323698796331882,-0.6649183034896851,-0.2005511373281479,0.9999929070472717,0.019865745678544044,-0.7023590803146362,-0.18251046538352966,0.999977707862854,0.020240161567926407,-0.7026766538619995,-0.1819612681865692,0.9999765157699585,0.02024904638528824,-0.7030879259109497,-0.18213850259780884,0.9999775886535645,-0.012763489969074726,-0.6980470418930054,-0.18064264953136444,0.999973475933075,-0.012341284193098545,-0.6990525722503662,-0.18148674070835114,0.9999690055847168,-0.012439826503396034,-0.700265109539032,-0.18079568445682526,0.9999685883522034,0.07297903299331665,-0.6874049305915833,-0.07774806767702103,0.9999630451202393,-0.07464933395385742,-0.6769263744354248,-0.08015910536050797,0.9999392032623291,0.034918658435344696,-0.6385954022407532,-0.16499191522598267,0.9999923706054688,-0.008194589987397194,-0.6336459517478943,-0.164164200425148,0.9999891519546509,0.17451275885105133,-0.48616185784339905,-0.026373302564024925,0.9999876022338867,-0.1623152494430542,-0.49191612005233765,-0.029657643288373947,0.9999454021453857,0.20448361337184906,-0.2476959377527237,-0.02222202718257904,0.9959826469421387,-0.21764811873435974,-0.2454533874988556,0.003894652472808957,0.980184018611908,0.19062253832817078,-0.0286503154784441,-0.14818115532398224,0.9940012693405151,-0.22243724763393402,-0.034145619720220566,-0.09539678692817688,0.9696061015129089,0.18402008712291718,0.05868103727698326,-0.18194451928138733,0.9856534004211426,-0.22194638848304749,0.0479009784758091,-0.1187615767121315,0.94339919090271,0.15027374029159546,0.05428903549909592,-0.2161354124546051,0.9862729907035828,-0.19834010303020477,0.03642009198665619,-0.15282660722732544,0.9468505382537842,0.17206701636314392,-0.013058214448392391,-0.16140761971473694,0.9816221594810486,-0.20431548357009888,-0.02020028978586197,-0.11062424629926682,0.9390772581100464,0.11441773176193237,0.005835406016558409,-0.000622799969278276,0.9997892379760742,-0.11458894610404968,-0.006412870716303587,0.001850874163210392,0.9997193217277527,0.1178361251950264,0.4019087255001068,-0.016485948115587234,0.9805577397346497,-0.13571283221244812,0.3772222101688385,0.00590688269585371,0.9744172692298889,0.16607259213924408,0.7416568398475647,0.11794256418943405,0.9505242705345154,-0.13873858749866486,0.724789023399353,0.13643822073936462,0.9488493800163269,0.1751856803894043,0.7846440672874451,0.12127810716629028,0.6883417367935181,-0.141523078083992,0.7695334553718567,0.1404656320810318,0.6858909130096436,0.21858228743076324,0.833877682685852,-0.0012473509414121509,0.9178835153579712,-0.17688752710819244,0.8069764971733093,0.01366929430514574,0.9166666865348816
9,0.15,0.01143114548176527,-0.6651726365089417,-0.19997353851795197,0.999992847442627,0.019999776035547256,-0.702623724937439,-0.18190518021583557,0.9999774694442749,0.02037210576236248,-0.7029402852058411,-0.18135575950145721,0.9999762773513794,0.020383082330226898,-0.7033520340919495,-0.1815377175807953,0.9999773502349854,-0.012652290984988213,-0.6983057856559753,-0.18005843460559845,0.9999730587005615,-0.012228788807988167,-0.6993105411529541,-0.1809002012014389,0.9999685883522034,-0.012328218668699265,-0.7005225419998169,-0.18021248281002045,0.9999680519104004,0.07311606407165527,-0.6876994967460632,-0.07713682949542999,0.9999627470970154,-0.0745793953537941,-0.6771844625473022,-0.07958859205245972,0.999938428401947,0.035012345761060715,-0.6388661861419678,-0.16442541778087616,0.9999922513961792,-0.008116023615002632,-0.6339083313941956,-0.1636066883802414,0.9999889731407166,0.17459210753440857,-0.4864378571510315,-0.0259691271930933,0.9999876618385315,-0.16222839057445526,-0.49217021465301514,-0.029162351042032242,0.9999451041221619,0.20469442009925842,-0.24833813309669495,-0.021663112565875053,0.9959433674812317,-0.21757833659648895,-0.24598397314548492,0.004251557867974043,0.980108380317688,0.19060279428958893,-0.029304802417755127,-0.1472937911748886,0.9939721822738647,-0.2219693660736084,-0.034451164305210114,-0.09511807560920715,0.969244658946991,0.18397751450538635,0.058123987168073654,-0.1810101866722107,0.9855828881263733,-0.22153989970684052,0.047674406319856644,-0.11858819425106049,0.9428961277008057,0.15026403963565826,0.053717005997896194,-0.21517008543014526,0.9862096309661865,-0.19779853522777557,0.03625047579407692,-0.1525193750858307,0.9463784098625183,0.17204619944095612,-0.013702057301998138,-0.16049617528915405,0.9815544486045837,-0.2038131058216095,-0.020465092733502388,-0.1103162169456482,0.9385590553283691,0.11439140141010284,0.005855910014361143,-0.0005486165755428374,0.9997872114181519,-0.11456099152565002,-0.006433278322219849,0.0017746643861755729,0.9997161626815796,0.11780372262001038,0.40186893939971924,-0.016416074708104134,0.9798722863197327,-0.13519608974456787,0.3770088255405426,0.006268284749239683,0.9738691449165344,0.16598136723041534,0.7414522767066956,0.11842383444309235,0.9487224221229553,-0.13797330856323242,0.7244871854782104,0.13780735433101654,0.9475998282432556,0.17511658370494843,0.7844063639640808,0.12184840440750122,0.6853598356246948,-0.1407030075788498,0.7692105174064636,0.14195287227630615,0.6818983554840088,0.2185833901166916,0.8336767554283142,-0.0004246543685439974,0.915557324886322,-0.17566289007663727,0.8067486882209778,0.015169916674494743,0.9147445559501648
